liczba,tresc
1,"Napierdalanie żony szablą jest prawem, a nie towarem!"
2,"Kariera w pierwszej kolejności, a później może dziecko. Prowadzi to do tragicznych konsekwencji."
3,Dzieci przeskakują na whiskey z colą z kompotu babci.
4,Karcenie jest jednym z najważniejszych środków wychowawczych.
5,"Ja mam mnóstwo skrzynek. Nie wiem, która jest prywatna."
6,Nie przewiduje tego Konstytucja ani nic innego.
7,To szatan. Nazywajmy rzeczy po imieniu.
8,Ci ludzie nie są równi ludziom normalnym i skończmy z tą dyskusją.
9,Nie mam żadnego miecza anty-LGBT i nie planuję żadnej krucjaty.
10,Take it easy.
